student_id,study_hours_per_day,extracurricular_hours_per_day,sleep_hours_per_day,social_hours_per_day,physical_activity_hours_per_day,gpa,stress_level,stress_encoded
3,5.1,3.9,9.2,1.2,4.6,2.67,low,1
4,6.5,2.1,7.2,1.7,6.5,2.88,moderate,2
5,8.1,0.6,6.5,2.2,6.6,3.51,high,0
6,6.0,2.1,8.0,0.3,7.6,2.85,moderate,2
7,8.0,0.7,5.3,5.7,4.3,3.08,high,0
8,8.4,1.8,5.6,3.0,5.2,3.2,high,0
9,5.2,3.6,6.3,4.0,4.9,2.82,low,1
10,7.7,0.7,9.8,4.5,1.3,2.76,moderate,2
11,9.7,3.6,8.0,2.5,0.2,3.43,high,0
12,6.9,1.1,9.1,2.1,4.8,2.97,moderate,2
13,6.4,2.2,5.7,4.8,4.9,2.82,high,0
14,5.0,3.3,8.5,4.4,2.8,2.87,low,1
15,8.9,0.3,6.8,0.7,7.3,3.4,high,0
16,6.7,0.3,6.6,2.0,8.4,3.2,moderate,2
17,8.6,2.6,9.4,1.6,1.8,3.36,high,0
20,6.6,2.0,9.5,1.5,4.4,2.93,moderate,2
21,7.1,3.0,6.1,0.5,7.3,2.9,moderate,2
22,9.6,3.2,8.2,2.6,0.4,3.34,high,0
23,9.0,0.7,9.5,2.6,2.2,3.21,high,0
24,6.1,1.7,9.1,5.2,1.9,2.85,moderate,2
25,5.0,2.0,7.1,1.3,8.6,2.68,low,1
26,9.7,1.3,7.6,3.8,1.6,3.29,high,0
27,6.8,3.9,9.8,0.9,2.6,2.64,moderate,2
28,6.4,0.1,8.0,3.0,6.5,2.95,moderate,2
29,5.3,1.1,9.5,1.4,6.7,2.79,low,1
30,9.9,1.0,8.4,3.6,1.1,3.25,high,0
31,6.2,2.9,6.8,3.8,4.3,3.05,moderate,2
32,5.5,3.3,6.6,1.1,7.5,3.26,low,1
33,5.2,2.4,8.4,0.1,7.9,2.47,low,1
34,8.2,0.7,8.5,2.3,4.3,3.24,high,0
35,9.7,0.6,6.7,0.7,6.3,3.62,high,0
36,9.1,2.2,7.6,1.2,3.9,3.12,high,0
38,8.6,3.6,9.4,1.9,0.5,3.03,high,0
39,8.2,0.3,5.8,5.4,4.3,3.29,high,0
